CLASS,OPEN,CLOSE,MA20,MA20-CLOSE,MA60,MA60-CLOSE,MA200,MA200-CLOSE,20-60 CROSS,20-200CROSS,60-200CROSS,EMA20
0,1589.517,1591.493,1583.6131,0,1635.619333,1,1679.95714,1,0,0,0,1589.71
0,1597.821,1603.768,1584.6727,0,1634.553967,1,1680.075255,1,0,0,0,1592.662048
0,1603.794,1605.717,1585.9299,0,1633.673583,1,1680.090885,1,0,0,0,1603.953619
0,1605.74,1612.402,1587.16335,0,1632.937567,1,1680.086285,1,0,0,0,1606.353667
0,1612.445,1606.076,1588.8604,0,1632.123883,1,1680.001035,1,0,0,0,1611.799524
0,1606.085,1615.557,1589.4197,0,1631.288533,1,1679.96488,1,0,0,0,1606.978952
0,1615.586,1606.785,1589.52965,0,1630.318333,1,1679.89259,1,0,0,0,1614.721571
0,1608.199,1606.335,1590.02035,0,1629.393217,1,1679.85904,1,0,0,0,1606.742143
0,1606.335,1605.951,1591.28855,0,1628.4867,1,1679.8792,1,0,0,0,1606.298429
0,1605.977,1599.995,1592.80185,0,1627.4547,1,1679.932445,1,0,0,0,1605.383762
1,1600.004,1605.056,1593.84035,0,1626.104267,1,1679.941995,1,0,0,0,1600.477
0,1605.117,1596.247,1595.32805,0,1624.84795,1,1679.89716,1,0,0,0,1604.217048
0,1595.095,1596.419,1596.2783,0,1623.328483,1,1679.821975,1,0,0,0,1596.263381
0,1596.43,1601.492,1596.9991,0,1621.865083,1,1679.775925,1,0,0,0,1596.902143
0,1601.521,1576.31,1598.08965,1,1620.415817,1,1679.595615,1,0,0,0,1599.093714
0,1576.31,1554.862,1597.9976,1,1618.528433,1,1679.28806,1,0,0,0,1574.267333
0,1554.904,1552.45,1596.81215,1,1616.232633,1,1678.95149,1,0,0,0,1554.632286
0,1552.463,1580.632,1595.34525,1,1614.026483,1,1678.74967,1,0,0,0,1555.134
0,1581.771,1577.237,1594.75245,1,1612.5768,1,1678.5836,1,0,0,0,1580.308667
0,1577.267,1571.985,1594.2153,1,1611.228267,1,1678.44272,1,0,0,0,1576.73681
0,1571.945,1585.377,1593.33845,1,1609.77285,1,1678.350315,1,0,0,0,1573.260429
0,1585.352,1555.451,1593.03265,1,1608.576467,1,1678.05162,1,0,0,0,1582.526905
0,1555.44,1561.775,1590.6168,1,1606.764833,1,1677.78374,1,0,0,0,1556.053286
0,1561.803,1481.84,1588.4197,1,1604.849067,1,1677.1079,1,0,0,0,1554.162143
1,1480.858,1489.878,1581.8916,1,1601.832417,1,1676.46018,1,0,0,0,1482.605524
1,1489.896,1351.516,1576.0817,1,1598.882633,1,1675.030565,1,0,0,0,1476.700667
1,1351.516,1370.922,1562.87965,1,1593.623383,1,1673.608355,1,0,0,0,1353.36419
1,1370.938,1373.216,1551.0865,1,1588.56735,1,1672.132615,1,0,0,0,1371.140476
1,1373.24,1394.216,1539.43055,1,1583.541233,1,1670.753535,1,0,0,0,1375.216
1,1394.231,1403.525,1528.8438,1,1578.805683,1,1669.402265,1,0,0,0,1395.102571
1,1406.355,1408.495,1519.0203,1,1574.346517,1,1668.118405,1,0,0,0,1403.998333
1,1408.48,1424.06,1509.19225,1,1570.042067,1,1666.90526,1,0,0,0,1409.977381
1,1424.054,1414.06,1500.5829,1,1566.000533,1,1665.69408,1,0,0,0,1423.107619
